id,latitude,longitude,floorSize,beds,bathrooms,url,address,city,state,zipCode,price
zpid_43321804,26.008265,-80.18558,1276,3,3,https://www.zillow.com/homedetails/4204-Van-Buren-St-Hollywood-FL-33021/43321804_zpid/,4204 Van Buren St,Hollywood,FL,33021,4999
zpid_43323018,26.017195,-80.19764,1752,3,3,https://www.zillow.com/homedetails/5321-Lincoln-St-Hollywood-FL-33021/43323018_zpid/,5321 Lincoln St,Hollywood,FL,33021,8500
zpid_43323023,26.017605,-80.197495,1564,3,3,https://www.zillow.com/homedetails/5316-Johnson-St-Hollywood-FL-33021/43323023_zpid/,5316 Johnson St,Hollywood,FL,33021,6000
zpid_43323728,26.030476,-80.19343,2182,4,4,https://www.zillow.com/homedetails/2230-N-49th-Ave-Hollywood-FL-33021/43323728_zpid/,2230 N 49th Ave,Hollywood,FL,33021,3630
zpid_43324019,26.022264,-80.19417,2996,3,3,https://www.zillow.com/homedetails/5000-Cleveland-St-Hollywood-FL-33021/43324019_zpid/,5000 Cleveland St,Hollywood,FL,33021,5500
zpid_43324678,26.020014,-80.192474,1790,3,3,https://www.zillow.com/homedetails/4811-Hayes-St-Hollywood-FL-33021/43324678_zpid/,4811 Hayes St,Hollywood,FL,33021,5500
zpid_43325404,26.023516,-80.174225,1471,3,3,https://www.zillow.com/homedetails/3225-Cleveland-St-Hollywood-FL-33021/43325404_zpid/,3225 Cleveland St,Hollywood,FL,33021,3500
zpid_43325797,26.028584,-80.17203,1599,3,3,https://www.zillow.com/homedetails/2010-N-31st-Ct-Hollywood-FL-33021/43325797_zpid/,2010 N 31st Ct,Hollywood,FL,33021,4500
zpid_43327684,26.029863,-80.16112,1669,4,4,https://www.zillow.com/homedetails/2629-Scott-St-Hollywood-FL-33020/43327684_zpid/,2629 Scott St,Hollywood,FL,33020,6000
zpid_43327688,26.029856,-80.16187,1320,3,3,https://www.zillow.com/homedetails/2645-Scott-St-Hollywood-FL-33020/43327688_zpid/,2645 Scott St,Hollywood,FL,33020,8000
zpid_43327849,26.032383,-80.16374,1277,3,3,https://www.zillow.com/homedetails/2322-N-28th-Ave-Hollywood-FL-33020/43327849_zpid/,2322 N 28th Ave,Hollywood,FL,33020,2695
zpid_43328131,26.02895,-80.16071,2078,4,4,https://www.zillow.com/homedetails/2627-Coolidge-St-Hollywood-FL-33020/43328131_zpid/,2627 Coolidge St,Hollywood,FL,33020,4500
zpid_43328563,26.020334,-80.14194,1121,2,2,https://www.zillow.com/homedetails/1015-N-17th-Ct-Hollywood-FL-33020/43328563_zpid/,1015 N 17th Ct,Hollywood,FL,33020,3500
zpid_43328679,26.020296,-80.13625,1206,2,2,https://www.zillow.com/homedetails/1425-Grant-St-Hollywood-FL-33020/43328679_zpid/,1425 Grant St,Hollywood,FL,33020,4200
zpid_43330111,26.020914,-80.13466,2230,5,5,https://www.zillow.com/homedetails/1020-N-13th-Ter-Hollywood-FL-33019/43330111_zpid/,1020 N 13th Ter,Hollywood,FL,33019,10000
zpid_43330183,26.0197,-80.132484,1800,3,3,https://www.zillow.com/homedetails/907-N-13th-Ave-Hollywood-FL-33019/43330183_zpid/,907 N 13th Ave,Hollywood,FL,33019,8000
zpid_43333716,26.004663,-80.13406,1585,3,3,https://www.zillow.com/homedetails/1343-Washington-St-Hollywood-FL-33019/43333716_zpid/,1343 Washington St,Hollywood,FL,33019,5950
zpid_43333744,26.00556,-80.13304,2392,4,4,https://www.zillow.com/homedetails/1317-Adams-St-Hollywood-FL-33019/43333744_zpid/,1317 Adams St,Hollywood,FL,33019,5900
zpid_43333989,26.018988,-80.13087,1946,4,4,https://www.zillow.com/homedetails/1204-Johnson-St-Hollywood-FL-33019/43333989_zpid/,1204 Johnson St,Hollywood,FL,33019,5800
zpid_43334002,,,1355,3,3,https://www.zillow.com/homedetails/Hollywood-FL-33019/43334002_zpid/,(undisclosed Address),Hollywood,FL,33019,4500
zpid_43334216,26.004763,-80.13029,1983,3,3,https://www.zillow.com/homedetails/1201-Washington-St-Hollywood-FL-33019/43334216_zpid/,1201 Washington St,Hollywood,FL,33019,9500
zpid_43334235,,,1679,3,3,https://www.zillow.com/homedetails/Hollywood-FL-33019/43334235_zpid/,(undisclosed Address),Hollywood,FL,33019,7500
zpid_43334294,26.010303,-80.12853,2032,4,4,https://www.zillow.com/homedetails/1115-Van-Buren-St-Hollywood-FL-33019/43334294_zpid/,1115 Van Buren St,Hollywood,FL,33019,9500
zpid_43334380,26.017742,-80.12924,1951,3,3,https://www.zillow.com/homedetails/1119-Buchanan-St-Hollywood-FL-33019/43334380_zpid/,1119 Buchanan St,Hollywood,FL,33019,5600
zpid_43334403,26.018639,-80.12988,2243,4,4,https://www.zillow.com/homedetails/1143-Lincoln-St-Hollywood-FL-33019/43334403_zpid/,1143 Lincoln St,Hollywood,FL,33019,5600
zpid_43334613,26.0073,-80.12649,2790,4,4,https://www.zillow.com/homedetails/1030-S-Southlake-Dr-Hollywood-FL-33019/43334613_zpid/,1030 S Southlake Dr,Hollywood,FL,33019,9500
zpid_43334648,26.005245,-80.12619,1874,5,5,https://www.zillow.com/homedetails/1022-Adams-St-Hollywood-FL-33019/43334648_zpid/,1022 Adams St,Hollywood,FL,33019,11000
zpid_43334854,26.019142,-80.12438,1928,5,5,https://www.zillow.com/homedetails/924-Johnson-St-Hollywood-FL-33019/43334854_zpid/,924 Johnson St,Hollywood,FL,33019,5995
zpid_43335224,26.005795,-80.13974,1704,3,3,https://www.zillow.com/homedetails/1626-Jefferson-St-Hollywood-FL-33020/43335224_zpid/,1626 Jefferson St,Hollywood,FL,33020,3525
zpid_43335225,26.00579,-80.13986,1500,3,3,https://www.zillow.com/homedetails/1630-Jefferson-St-Hollywood-FL-33020/43335225_zpid/,1630 Jefferson St,Hollywood,FL,33020,3525
zpid_43335285,26.010406,-80.13921,1945,4,4,https://www.zillow.com/homedetails/1600-Harrison-St-Hollywood-FL-33020/43335285_zpid/,1600 Harrison St,Hollywood,FL,33020,6950
zpid_43335313,26.011984,-80.13886,3486,7,4,https://www.zillow.com/homedetails/1555-Hollywood-Blvd-Hollywood-FL-33020/43335313_zpid/,1555 Hollywood Blvd,Hollywood,FL,33020,12000
zpid_43335352,26.009125,-80.138596,1435,3,3,https://www.zillow.com/homedetails/1551-Jackson-St-Hollywood-FL-33020/43335352_zpid/,1551 Jackson St,Hollywood,FL,33020,3800
zpid_43335423,26.005821,-80.13873,816,2,2,https://www.zillow.com/homedetails/1556-Jefferson-St-Hollywood-FL-33020/43335423_zpid/,1556 Jefferson St,Hollywood,FL,33020,3700
zpid_43335545,26.009607,-80.135864,1779,3,3,https://www.zillow.com/homedetails/1426-Van-Buren-St-Hollywood-FL-33020/43335545_zpid/,1426 Van Buren St,Hollywood,FL,33020,4100
zpid_43339162,26.015854,-80.16994,2000,4,4,https://www.zillow.com/homedetails/607-N-31st-Ave-Hollywood-FL-33021/43339162_zpid/,607 N 31st Ave,Hollywood,FL,33021,6800
zpid_43339714,25.992935,-80.186874,1148,3,2,https://www.zillow.com/homedetails/4331-SW-20th-St-Hollywood-FL-33023/43339714_zpid/,4331 SW 20th St,Hollywood,FL,33023,2575
zpid_43345205,25.998892,-80.141464,1400,3,2,https://www.zillow.com/homedetails/1721-Mayo-St-Hollywood-FL-33020/43345205_zpid/,1721 Mayo St,Hollywood,FL,33020,3490
zpid_43348280,26.00195,-80.13222,2057,5,5,https://www.zillow.com/homedetails/1301-Rodman-St-Hollywood-FL-33019/43348280_zpid/,1301 Rodman St,Hollywood,FL,33019,11000
zpid_43348282,26.001934,-80.132675,2130,5,5,https://www.zillow.com/homedetails/1311-Rodman-St-Hollywood-FL-33019/43348282_zpid/,1311 Rodman St,Hollywood,FL,33019,11000
zpid_43348706,26.001331,-80.13301,2749,3,3,https://www.zillow.com/homedetails/1210-S-13th-Ave-Hollywood-FL-33019/43348706_zpid/,1210 S 13th Ave,Hollywood,FL,33019,5900
zpid_43355354,25.978104,-80.125496,2148,3,2.5,https://www.zillow.com/homedetails/612-Hibiscus-Dr-Hallandale-FL-33009/43355354_zpid/,612 Hibiscus Dr,Hallandale,FL,33009,9000
zpid_43806587,25.846481,-80.20481,1924,3,3,https://www.zillow.com/homedetails/7812-NW-4th-Ct-Miami-FL-33150/43806587_zpid/,7812 NW 4th Ct,Miami,FL,33150,2900
zpid_43807399,25.838179,-80.202705,1950,6,3,https://www.zillow.com/homedetails/6900-NW-3rd-Ave-Miami-FL-33150/43807399_zpid/,6900 NW 3rd Ave,Miami,FL,33150,4400
zpid_43807702,25.829742,-80.20147,1244,3,3,https://www.zillow.com/homedetails/265-NW-59th-St-Miami-FL-33127/43807702_zpid/,265 NW 59th St,Miami,FL,33127,3950
zpid_43807799,25.837263,-80.19855,1200,3,3,https://www.zillow.com/homedetails/111-NW-68th-St-Miami-FL-33150/43807799_zpid/,111 NW 68th St,Miami,FL,33150,3100
zpid_43808207,25.83351,-80.193985,852,1,1,https://www.zillow.com/homedetails/110-NE-63rd-St-Miami-FL-33138/43808207_zpid/,110 NE 63rd St,Miami,FL,33138,1700
