id,soldDate,latitude,longitude,floorSize,beds,bathrooms,url,address,city,state,zipCode,price
zpid_43029384,for sale,26.151302,-80.29288,1622,4,2,https://www.zillow.com/homedetails/10740-NW-21st-St-Sunrise-FL-33322/43029384_zpid/,10740 NW 21st St,Sunrise,FL,33322,535000
zpid_43032604,for sale,26.144247,-80.28422,2927,4,3,https://www.zillow.com/homedetails/1541-NW-100th-Way-Plantation-FL-33322/43032604_zpid/,1541 NW 100th Way,Plantation,FL,33322,899000
zpid_43034923,for sale,26.141306,-80.268906,1398,2,2,https://www.zillow.com/homedetails/8971-NW-12th-Pl-Plantation-FL-33322/43034923_zpid/,8971 NW 12th Pl,Plantation,FL,33322,395900
zpid_43035488,for sale,26.144854,-80.279045,2021,4,2,https://www.zillow.com/homedetails/9590-NW-17th-St-Plantation-FL-33322/43035488_zpid/,9590 NW 17th St,Plantation,FL,33322,735000
zpid_43036758,for sale,26.141272,-80.26204,1312,2,2,https://www.zillow.com/homedetails/1320-NW-85th-Ave-Fort-Lauderdale-FL-33322/43036758_zpid/,1320 NW 85th Ave,Fort Lauderdale,FL,33322,325000
zpid_43041169,for sale,26.14919,-80.22753,1602,4,2,https://www.zillow.com/homedetails/5821-NW-18th-Ct-Fort-Lauderdale-FL-33313/43041169_zpid/,5821 NW 18th Ct,Fort Lauderdale,FL,33313,444900
zpid_43041501,for sale,26.147654,-80.2292,1321,2,2,https://www.zillow.com/homedetails/5900-NW-17th-Pl-APT-102-Sunrise-FL-33313/43041501_zpid/,5900 NW 17th Pl APT 102,Sunrise,FL,33313,230000
zpid_43049905,for sale,26.23107,-80.12739,890,2,2,https://www.zillow.com/homedetails/214-SW-1st-St-I-2-Pompano-Beach-FL-33060/43049905_zpid/,214 SW 1st St #I-2,Pompano Beach,FL,33060,189900
zpid_43050635,for sale,26.213343,-80.149826,1399,2,2,https://www.zillow.com/homedetails/2202-S-Cypress-Bend-Dr-APT-505-Pompano-Beach-FL-33069/43050635_zpid/,2202 S Cypress Bend Dr APT 505,Pompano Beach,FL,33069,279000
zpid_43097600,for sale,26.147303,-80.17736,1526,3,2,https://www.zillow.com/homedetails/2601-NW-16th-Ct-Fort-Lauderdale-FL-33311/43097600_zpid/,2601 NW 16th Ct,Fort Lauderdale,FL,33311,375000
zpid_43099047,for sale,26.138958,-80.16017,860,3,2,https://www.zillow.com/homedetails/1313-NW-11th-Ct-Fort-Lauderdale-FL-33311/43099047_zpid/,1313 NW 11th Ct,Fort Lauderdale,FL,33311,330000
zpid_43099093,for sale,26.13922,-80.161545,1686,4,2,https://www.zillow.com/homedetails/1436-NW-11th-Ct-Fort-Lauderdale-FL-33311/43099093_zpid/,1436 NW 11th Ct,Fort Lauderdale,FL,33311,390000
zpid_43099887,for sale,26.14521,-80.15871,1386,3,2,https://www.zillow.com/homedetails/1161-NW-15th-St-Fort-Lauderdale-FL-33311/43099887_zpid/,1161 NW 15th St,Fort Lauderdale,FL,33311,550000
zpid_43101364,for sale,26.143131,-80.12818,1338,3,2,https://www.zillow.com/homedetails/1315-NE-16th-Ave-Fort-Lauderdale-FL-33304/43101364_zpid/,1315 NE 16th Ave,Fort Lauderdale,FL,33304,899900
zpid_43102067,for sale,26.134352,-80.12398,2695,3,4,https://www.zillow.com/homedetails/819-NE-17th-Way-Fort-Lauderdale-FL-33304/43102067_zpid/,819 NE 17th Way,Fort Lauderdale,FL,33304,1399000
zpid_43102922,for sale,26.151432,-80.15001,1342,3,3,https://www.zillow.com/homedetails/670-Tennis-Club-Dr-APT-111-Fort-Lauderdale-FL-33311/43102922_zpid/,670 Tennis Club Dr APT 111,Fort Lauderdale,FL,33311,330000
zpid_43105124,for sale,26.143555,-80.11221,842,2,2,https://www.zillow.com/homedetails/1308-Bayview-Dr-APT-2A-Fort-Lauderdale-FL-33304/43105124_zpid/,1308 Bayview Dr APT 2A,Fort Lauderdale,FL,33304,329000
zpid_43112246,for sale,26.206177,-80.09656,1080,2,2,https://www.zillow.com/homedetails/1967-S-Ocean-Blvd-APT-103-Lauderdale-By-The-Sea-FL-33062/43112246_zpid/,1967 S Ocean Blvd APT 103,Lauderdale By The Sea,FL,33062,290000
zpid_43123317,for sale,26.170643,-80.10109,1170,2,2,https://www.zillow.com/homedetails/3333-NE-34th-St-APT-904-Fort-Lauderdale-FL-33308/43123317_zpid/,3333 NE 34th St APT 904,Fort Lauderdale,FL,33308,299000
zpid_43132709,for sale,26.117683,-80.368675,1235,2,3,https://www.zillow.com/homedetails/16325-Golf-Club-Rd-APT-101-Weston-FL-33326/43132709_zpid/,16325 Golf Club Rd APT 101,Weston,FL,33326,390000
zpid_43141523,for sale,26.10661,-80.3289,1411,4,3,https://www.zillow.com/homedetails/13531-SW-10th-Pl-Davie-FL-33325/43141523_zpid/,13531 SW 10th Pl,Davie,FL,33325,549900
zpid_43146346,for sale,26.07747,-80.31446,3683,6,3,https://www.zillow.com/homedetails/12470-SW-34th-Pl-Davie-FL-33330/43146346_zpid/,12470 SW 34th Pl,Davie,FL,33330,1495000
zpid_43146814,for sale,26.059238,-80.32083,2469,4,3,https://www.zillow.com/homedetails/12921-SW-52nd-St-Southwest-Ranches-FL-33330/43146814_zpid/,12921 SW 52nd St,Southwest Ranches,FL,33330,1229000
zpid_43146849,for sale,26.059307,-80.3263,3858,3,2,https://www.zillow.com/homedetails/4801-SW-133rd-Ave-Southwest-Ranches-FL-33330/43146849_zpid/,4801 SW 133rd Ave,Southwest Ranches,FL,33330,1850000
zpid_43150912,for sale,26.057531,-80.322,4357,4,4,https://www.zillow.com/homedetails/5014-Countrybrook-Dr-Cooper-City-FL-33330/43150912_zpid/,5014 Countrybrook Dr,Cooper City,FL,33330,1295000
zpid_43151089,for sale,26.0528,-80.327065,4769,6,6,https://www.zillow.com/homedetails/13397-Majestic-Way-Cooper-City-FL-33330/43151089_zpid/,13397 Majestic Way,Cooper City,FL,33330,1750000
zpid_43153576,for sale,26.12995,-80.214775,1498,3,2,https://www.zillow.com/homedetails/4813-NW-6th-St-Plantation-FL-33317/43153576_zpid/,4813 NW 6th St,Plantation,FL,33317,524900
zpid_43158574,for sale,26.127247,-80.265175,1344,3,3,https://www.zillow.com/homedetails/569-N-Pine-Island-Rd-36-Plantation-FL-33324/43158574_zpid/,569 N Pine Island Rd #36,Plantation,FL,33324,350000
zpid_43158644,for sale,26.134752,-80.25856,2020,4,3,https://www.zillow.com/homedetails/848-NW-81st-Ave-5-Fort-Lauderdale-FL-33324/43158644_zpid/,848 NW 81st Ave #5,Fort Lauderdale,FL,33324,399000
zpid_43158789,for sale,26.135159,-80.25874,2020,4,3,https://www.zillow.com/homedetails/849-NW-81st-Ave-4-Plantation-FL-33324/43158789_zpid/,849 NW 81st Ave #4,Plantation,FL,33324,390000
zpid_43158894,for sale,26.134417,-80.25936,1480,3,3,https://www.zillow.com/homedetails/835-NW-81st-Ter-7-Fort-Lauderdale-FL-33324/43158894_zpid/,835 NW 81st Ter #7,Fort Lauderdale,FL,33324,269000
zpid_43159016,for sale,26.134468,-80.26154,2020,4,3,https://www.zillow.com/homedetails/8212-NW-8th-Pl-2-Fort-Lauderdale-FL-33324/43159016_zpid/,8212 NW 8th Pl #2,Fort Lauderdale,FL,33324,395999
zpid_43159021,for sale,26.134123,-80.26156,2020,4,3,https://www.zillow.com/homedetails/8202-NW-8th-Pl-7-Fort-Lauderdale-FL-33324/43159021_zpid/,8202 NW 8th Pl #7,Fort Lauderdale,FL,33324,350000
zpid_43159890,for sale,26.124458,-80.282005,1820,4,3,https://www.zillow.com/homedetails/9918-NW-2nd-Ct-Plantation-FL-33324/43159890_zpid/,9918 NW 2nd Ct,Plantation,FL,33324,500000
zpid_43164334,for sale,26.11131,-80.269295,1891,2,3,https://www.zillow.com/homedetails/9050-Jacaranda-Ln-APT-2-Plantation-FL-33324/43164334_zpid/,9050 Jacaranda Ln APT 2,Plantation,FL,33324,370000
zpid_43166208,for sale,26.109203,-80.24767,2246,4,2,https://www.zillow.com/homedetails/7461-SW-9th-St-Plantation-FL-33317/43166208_zpid/,7461 SW 9th St,Plantation,FL,33317,650000
zpid_43166233,for sale,26.109205,-80.24468,2112,4,2,https://www.zillow.com/homedetails/7304-SW-9th-Ct-Plantation-FL-33317/43166233_zpid/,7304 SW 9th Ct,Plantation,FL,33317,799000
zpid_43175596,for sale,26.094713,-80.27717,965,2,2,https://www.zillow.com/homedetails/9441-Live-Oak-Pl-APT-103-Davie-FL-33324/43175596_zpid/,9441 Live Oak Pl APT 103,Davie,FL,33324,335000
zpid_43176020,for sale,26.096071,-80.274765,1170,3,2,https://www.zillow.com/homedetails/1831-Sabal-Palm-Dr-APT-101-Davie-FL-33324/43176020_zpid/,1831 Sabal Palm Dr APT 101,Davie,FL,33324,285000
zpid_43184970,for sale,26.062038,-80.29539,1790,4,2,https://www.zillow.com/homedetails/4701-SW-110th-Ave-Davie-FL-33328/43184970_zpid/,4701 SW 110th Ave,Davie,FL,33328,925000
zpid_43185793,for sale,26.058014,-80.282455,1850,4,3,https://www.zillow.com/homedetails/10203-SW-49th-Pl-Fort-Lauderdale-FL-33328/43185793_zpid/,10203 SW 49th Pl,Fort Lauderdale,FL,33328,770000
zpid_43193408,for sale,26.132301,-80.1067,691,1,1,https://www.zillow.com/homedetails/624-Orton-Ave-APT-15-Fort-Lauderdale-FL-33304/43193408_zpid/,624 Orton Ave APT 15,Fort Lauderdale,FL,33304,238000
zpid_43193544,for sale,26.12787,-80.120636,1140,2,2,https://www.zillow.com/homedetails/180-Isle-Of-Venice-Dr-APT-127-Fort-Lauderdale-FL-33301/43193544_zpid/,180 Isle Of Venice Dr APT 127,Fort Lauderdale,FL,33301,500000
zpid_43195703,for sale,26.134193,-80.16507,1260,3,2,https://www.zillow.com/homedetails/878-NW-17th-Ave-Fort-Lauderdale-FL-33311/43195703_zpid/,878 NW 17th Ave,Fort Lauderdale,FL,33311,445000
zpid_43196548,for sale,26.131384,-80.18358,1300,4,2,https://www.zillow.com/homedetails/2900-NW-8th-St-Pompano-Beach-FL-33311/43196548_zpid/,2900 NW 8th St,Pompano Beach,FL,33311,369000
zpid_43200025,for sale,26.112984,-80.19723,1302,2,2,https://www.zillow.com/homedetails/625-W-Dayton-Cir-Fort-Lauderdale-FL-33312/43200025_zpid/,625 W Dayton Cir,Fort Lauderdale,FL,33312,475000
zpid_43201456,for sale,26.10885,-80.17337,991,2,1,https://www.zillow.com/homedetails/1017-SW-22nd-Ter-Fort-Lauderdale-FL-33312/43201456_zpid/,1017 SW 22nd Ter,Fort Lauderdale,FL,33312,475000
zpid_43201748,for sale,26.116955,-80.18185,1755,3,2,https://www.zillow.com/homedetails/2840-SW-4th-St-Fort-Lauderdale-FL-33312/43201748_zpid/,2840 SW 4th St,Fort Lauderdale,FL,33312,450000
zpid_43203097,for sale,26.115696,-80.16176,1965,3,3,https://www.zillow.com/homedetails/1521-SW-5th-Ct-Fort-Lauderdale-FL-33312/43203097_zpid/,1521 SW 5th Ct,Fort Lauderdale,FL,33312,1299999
zpid_43203666,for sale,26.109438,-80.15677,1500,2,2,https://www.zillow.com/homedetails/1201-River-Reach-Dr-APT-517-Fort-Lauderdale-FL-33315/43203666_zpid/,1201 River Reach Dr APT 517,Fort Lauderdale,FL,33315,499900
zpid_43205792,for sale,26.119198,-80.12389,1100,2,2,https://www.zillow.com/homedetails/1750-E-Las-Olas-Blvd-APT-503-Fort-Lauderdale-FL-33301/43205792_zpid/,1750 E Las Olas Blvd APT 503,Fort Lauderdale,FL,33301,595000
zpid_43208858,for sale,26.107498,-80.106865,1214,2,2,https://www.zillow.com/homedetails/3000-Holiday-Dr-APT-606-Fort-Lauderdale-FL-33316/43208858_zpid/,3000 Holiday Dr APT 606,Fort Lauderdale,FL,33316,449000
zpid_43210004,for sale,26.097183,-80.108604,805,1,1,https://www.zillow.com/homedetails/1920-S-Ocean-Dr-APT-503-Fort-Lauderdale-FL-33316/43210004_zpid/,1920 S Ocean Dr APT 503,Fort Lauderdale,FL,33316,255000
zpid_43210092,for sale,26.097183,-80.108604,805,1,1,https://www.zillow.com/homedetails/1920-S-Ocean-Dr-APT-1403-Fort-Lauderdale-FL-33316/43210092_zpid/,1920 S Ocean Dr APT 1403,Fort Lauderdale,FL,33316,325000
zpid_43210995,for sale,26.10358,-80.12299,840,2,2,https://www.zillow.com/homedetails/1777-SE-15th-St-APT-307-Fort-Lauderdale-FL-33316/43210995_zpid/,1777 SE 15th St APT 307,Fort Lauderdale,FL,33316,389900
zpid_43216278,for sale,26.101803,-80.18667,1192,3,2,https://www.zillow.com/homedetails/3113-SW-15th-Ct-Fort-Lauderdale-FL-33312/43216278_zpid/,3113 SW 15th Ct,Fort Lauderdale,FL,33312,443000
zpid_43217414,for sale,26.098545,-80.193275,1440,3,2,https://www.zillow.com/homedetails/1721-SW-35th-Ave-Fort-Lauderdale-FL-33312/43217414_zpid/,1721 SW 35th Ave,Fort Lauderdale,FL,33312,499999
zpid_43220794,for sale,26.058735,-80.18837,2436,4,3,https://www.zillow.com/homedetails/3272-SW-51st-St-Fort-Lauderdale-FL-33312/43220794_zpid/,3272 SW 51st St,Fort Lauderdale,FL,33312,1084000
zpid_43226371,for sale,26.02051,-80.39349,1878,4,2,https://www.zillow.com/homedetails/1961-NW-184th-Ter-Pembroke-Pines-FL-33029/43226371_zpid/,1961 NW 184th Ter,Pembroke Pines,FL,33029,600000
zpid_43228225,for sale,26.016863,-80.394844,1612,3,2,https://www.zillow.com/homedetails/18428-NW-13th-St-Pembroke-Pines-FL-33029/43228225_zpid/,18428 NW 13th St,Pembroke Pines,FL,33029,675000
zpid_43229125,for sale,26.014484,-80.4239,1595,3,2,https://www.zillow.com/homedetails/20731-NW-8th-St-Pembroke-Pines-FL-33029/43229125_zpid/,20731 NW 8th St,Pembroke Pines,FL,33029,599000
zpid_43235652,for sale,26.010647,-80.37703,1176,2,2,https://www.zillow.com/homedetails/611-NW-172nd-Ter-Pembroke-Pines-FL-33029/43235652_zpid/,611 NW 172nd Ter,Pembroke Pines,FL,33029,442000
zpid_43237222,for sale,26.025085,-80.36543,2108,4,3,https://www.zillow.com/homedetails/16311-NW-19th-St-Pembroke-Pines-FL-33028/43237222_zpid/,16311 NW 19th St,Pembroke Pines,FL,33028,635000
zpid_43238317,for sale,26.012873,-80.35468,1582,3,2,https://www.zillow.com/homedetails/530-NW-158th-Ave-Pembroke-Pines-FL-33028/43238317_zpid/,530 NW 158th Ave,Pembroke Pines,FL,33028,650000
zpid_43253913,for sale,25.997488,-80.38717,1356,3,2,https://www.zillow.com/homedetails/17922-SW-11th-St-Pembroke-Pines-FL-33029/43253913_zpid/,17922 SW 11th St,Pembroke Pines,FL,33029,530000
zpid_43261777,for sale,25.99021,-80.383965,1669,3,3,https://www.zillow.com/homedetails/17632-SW-19th-St-Miramar-FL-33029/43261777_zpid/,17632 SW 19th St,Miramar,FL,33029,590000
zpid_43266934,for sale,26.043823,-80.22433,1456,3,2,https://www.zillow.com/homedetails/6760-Perry-St-Hollywood-FL-33024/43266934_zpid/,6760 Perry St,Hollywood,FL,33024,539000
zpid_43268919,for sale,26.032516,-80.239555,1701,4,2,https://www.zillow.com/homedetails/7540-Raleigh-St-Hollywood-FL-33024/43268919_zpid/,7540 Raleigh St,Hollywood,FL,33024,518500
zpid_43274100,for sale,26.016888,-80.28165,1120,2,2,https://www.zillow.com/homedetails/1200-Saint-Charles-Pl-APT-404-Pembroke-Pines-FL-33026/43274100_zpid/,1200 Saint Charles Pl APT 404,Pembroke Pines,FL,33026,209900
zpid_43276954,for sale,26.019522,-80.274155,1214,2,3,https://www.zillow.com/homedetails/1444-NW-97th-Ave-267-Pembroke-Pines-FL-33024/43276954_zpid/,1444 NW 97th Ave #267,Pembroke Pines,FL,33024,350000
zpid_43277696,for sale,26.01676,-80.25424,1640,2,2,https://www.zillow.com/homedetails/8390-NW-10th-St-Pembroke-Pines-FL-33024/43277696_zpid/,8390 NW 10th St,Pembroke Pines,FL,33024,510000
zpid_43278303,for sale,26.017467,-80.26117,1726,3,2,https://www.zillow.com/homedetails/8750-NW-11th-St-Pembroke-Pines-FL-33024/43278303_zpid/,8750 NW 11th St,Pembroke Pines,FL,33024,570000
zpid_43278656,for sale,26.026522,-80.25677,2256,4,2,https://www.zillow.com/homedetails/2040-NW-85th-Ave-Pembroke-Pines-FL-33024/43278656_zpid/,2040 NW 85th Ave,Pembroke Pines,FL,33024,675500
